0	vanish-disappear	9.8
1	quick-rapid	9.7
2	creator-maker	9.62
3	stupid-dumb	9.58
4	insane-crazy	9.57
5	large-big	9.55
6	happy-cheerful	9.55
7	cow-cattle	9.52
8	area-region	9.47
9	large-huge	9.47
10	simple-easy	9.4
11	bizarre-strange	9.37
12	student-pupil	9.35
13	attorney-lawyer	9.35
14	occur-happen	9.32
15	hallway-corridor	9.28
16	inform-notify	9.25
17	teacher-instructor	9.25
18	smart-intelligent	9.2
19	taxi-cab	9.2
20	weird-odd	9.2
21	drizzle-rain	9.17
22	scarce-rare	9.17
23	happy-glad	9.17
24	protect-defend	9.13
25	plead-beg	9.08
26	declare-announce	9.08
27	boundary-border	9.08
28	cop-sheriff	9.05
29	adversary-opponent	9.05
30	pact-agreement	9.02
31	corporation-business	9.02
32	business-company	9.02
33	strange-odd	9.02
34	victory-triumph	8.98
35	abundance-plenty	8.97
36	essential-necessary	8.97
37	weird-strange	8.93
38	journey-trip	8.88
39	physician-doctor	8.88
40	decide-choose	8.87
41	task-job	8.87
42	movie-film	8.87
43	roam-wander	8.83
44	shore-coast	8.83
45	acquire-get	8.82
46	contemplate-think	8.82
47	crucial-important	8.82
48	heroine-hero	8.78
49	friend-buddy	8.78
50	danger-threat	8.78
51	hard-difficult	8.77
52	inspect-examine	8.75
53	fast-rapid	8.75
54	attention-awareness	8.73
55	anger-fury	8.73
56	champion-winner	8.73
57	locate-find	8.73
58	create-make	8.72
59	inexpensive-cheap	8.72
60	assignment-task	8.7
61	delightful-wonderful	8.65
62	motor-engine	8.65
63	buddy-companion	8.65
64	alcohol-gin	8.65
65	wonderful-terrific	8.63
66	acquire-obtain	8.57
67	achieve-accomplish	8.57
68	bubble-suds	8.57
69	crib-cradle	8.55
70	style-fashion	8.5
71	noticeable-obvious	8.48
72	aggression-hostility	8.48
73	explore-discover	8.48
74	create-build	8.48
75	pretend-imagine	8.47
76	apparent-obvious	8.47
77	certain-sure	8.42
78	sheep-lamb	8.42
79	bad-awful	8.42
80	horse-mare	8.33
81	clarify-explain	8.33
82	couple-pair	8.33
83	purse-bag	8.33
84	beach-seashore	8.33
85	make-construct	8.33
86	area-zone	8.33
87	arrange-organize	8.27
88	orthodontist-dentist	8.27
89	confident-sure	8.27
90	keep-possess	8.27
91	expand-grow	8.27
92	sea-ocean	8.27
93	think-rationalize	8.25
94	dreary-dull	8.25
95	begin-originate	8.2
96	aviation-flight	8.18
97	proclaim-announce	8.18
98	harsh-cruel	8.18
99	appoint-elect	8.17
100	motel-inn	8.17
101	listen-hear	8.17
102	belly-abdomen	8.13
103	mood-emotion	8.12
104	join-add	8.1
105	plane-jet	8.1
106	investigate-examine	8.1
107	advise-recommend	8.1
108	come-attend	8.1
109	racket-noise	8.1
110	compare-analyze	8.1
111	exotic-rare	8.05
112	log-timber	8.05
113	wonderful-great	8.05
114	hard-tough	8.05
115	analyze-evaluate	8.03
116	communication-conversation	8.02
117	reduce-shrink	8.02
118	author-creator	8.02
119	formal-proper	8.02
120	formula-equation	7.95
121	anarchy-chaos	7.93
122	cancer-sickness	7.93
123	bottle-container	7.93
124	win-succeed	7.9
125	money-salary	7.88
126	circumstance-situation	7.85
127	bird-hawk	7.85
128	mob-crowd	7.85
129	wine-liquor	7.85
130	win-accomplish	7.85
131	beast-animal	7.83
132	jar-bottle	7.83
133	evening-dusk	7.78
134	elastic-flexible	7.78
135	rat-mouse	7.78
136	bad-terrible	7.78
137	conclude-decide	7.75
138	attach-join	7.75
139	emotion-passion	7.72
140	cottage-cabin	7.72
141	celebration-ceremony	7.72
142	participate-join	7.7
143	wagon-carriage	7.7
144	belief-opinion	7.7
145	sense-intuition	7.68
146	population-people	7.68
147	satisfy-please	7.67
148	fever-illness	7.65
149	know-comprehend	7.63
150	polite-proper	7.63
151	leave-go	7.63
152	charcoal-coal	7.63
153	agony-grief	7.63
154	way-manner	7.62
155	rabbi-minister	7.62
156	choose-elect	7.62
157	wire-cord	7.62
158	make-earn	7.62
159	bad-immoral	7.62
160	capability-competence	7.62
161	roof-ceiling	7.58
162	book-literature	7.53
163	ballad-song	7.53
164	crime-theft	7.53
165	supper-meal	7.53
166	achieve-succeed	7.5
167	beer-alcohol	7.5
168	boy-kid	7.5
169	tobacco-cigarette	7.5
170	competence-ability	7.5
171	wisdom-intelligence	7.47
172	steak-meat	7.47
173	realize-discover	7.47
174	linen-fabric	7.47
175	communication-language	7.47
176	understand-know	7.47
177	crowd-bunch	7.42
178	begin-go	7.42
179	alcohol-wine	7.42
180	car-cab	7.42
181	politician-president	7.38
182	necessary-important	7.37
183	lose-fail	7.33
184	cloud-haze	7.32
185	mud-dirt	7.32
186	river-stream	7.3
187	proof-fact	7.3
188	behave-obey	7.3
189	bed-crib	7.3
190	gather-meet	7.3
191	god-spirit	7.3
192	wood-log	7.3
193	reflection-image	7.27
194	dumb-dense	7.27
195	alcohol-whiskey	7.27
196	leader-manager	7.27
197	administration-management	7.25
198	sly-clever	7.25
199	metal-aluminum	7.25
200	attention-interest	7.22
201	despair-misery	7.22
202	give-lend	7.22
203	battle-conquest	7.22
204	take-possess	7.2
205	sweater-jacket	7.15
206	meal-dinner	7.15
207	investigate-pursue	7.15
